Subtitle Text Raw,Subtitle Text Clean,Subtitle Text,Start Time,End Time,Video Title,YouTube ID
the inputs each input is multiplied by a,the inputs each input is multiplied by a,the inputs each input is multiplied by a,00:16:13.440,00:16:19.040,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
weight and these weights during training,weight and these weights during training,weight and these weights during training,00:16:16.720,00:16:20.639,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
keep changing so initially they are,keep changing so initially they are,keep changing so initially they are,00:16:19.040,00:16:23.440,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
assigned some random values and based on,assigned some random values and based on,assigned some random values and based on,00:16:20.639,00:16:25.519,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the output whether it is correct or,the output whether it is correct or,the output whether it is correct or,00:16:23.440,00:16:27.519,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
wrong there is a feedback coming back,wrong there is a feedback coming back,wrong there is a feedback coming back,00:16:25.519,00:16:29.759,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
and that will basically change these,and that will basically change these,and that will basically change these,00:16:27.519,00:16:33.120,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
weights until it starts giving the right,weights until it starts giving the right,weights until it starts giving the right,00:16:29.759,00:16:36.320,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
output that is represented in here as,output that is represented in here as,output that is represented in here as,00:16:33.120,00:16:39.199,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
sigma i going from 1 to n if there are n,sigma i going from 1 to n if there are n,sigma i going from 1 to n if there are n,00:16:36.320,00:16:42.320,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
inputs wi into x i so this is the,inputs wi into x i so this is the,inputs wi into x i so this is the,00:16:39.199,00:16:46.160,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
product of w1 x1 w2 x2 and so on right,product of w1 x1 w2 x2 and so on right,product of w1 x1 w2 x2 and so on right,00:16:42.320,00:16:49.920,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
and there is a bias that gets added here,and there is a bias that gets added here,and there is a bias that gets added here,00:16:46.160,00:16:52.959,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
and that entire thing goes to what is,and that entire thing goes to what is,and that entire thing goes to what is,00:16:49.920,00:16:55.360,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
known as an activation function so,known as an activation function so,known as an activation function so,00:16:52.959,00:16:59.120,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
essentially this is sigma of w i x i,essentially this is sigma of w i x i,essentially this is sigma of w i x i,00:16:55.360,00:17:02.160,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
plus a value of bias which is a b so,plus a value of bias which is a b so,plus a value of bias which is a b so,00:16:59.120,00:17:05.360,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
that entire thing goes as an input to an,that entire thing goes as an input to an,that entire thing goes as an input to an,00:17:02.160,00:17:07.919,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
activation function now this activation,activation function now this activation,activation function now this activation,00:17:05.360,00:17:10.480,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
function takes this as an input gives,function takes this as an input gives,function takes this as an input gives,00:17:07.919,00:17:13.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the output as a binary output it could,the output as a binary output it could,the output as a binary output it could,00:17:10.480,00:17:15.439,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
be a zero or a one there are of course,be a zero or a one there are of course,be a zero or a one there are of course,00:17:13.520,00:17:17.439,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
to start with let's assume it's a binary,to start with let's assume it's a binary,to start with let's assume it's a binary,00:17:15.439,00:17:18.959,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
output later we will see that there are,output later we will see that there are,output later we will see that there are,00:17:17.439,00:17:20.799,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
different types of activation functions,different types of activation functions,different types of activation functions,00:17:18.959,00:17:23.120,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
so it need not always be binary output,so it need not always be binary output,so it need not always be binary output,00:17:20.799,00:17:25.439,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
but to start with let's keep simple so,but to start with let's keep simple so,but to start with let's keep simple so,00:17:23.120,00:17:28.160,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
it decides whether the neuron should be,it decides whether the neuron should be,it decides whether the neuron should be,00:17:25.439,00:17:30.799,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
fired or not so that is the output like,fired or not so that is the output like,fired or not so that is the output like,00:17:28.160,00:17:33.280,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
a binary output 0 or 1. all right so,a binary output 0 or 1. all right so,a binary output 0 or 1. all right so,00:17:30.799,00:17:35.280,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
again let me summarize this so it takes,again let me summarize this so it takes,again let me summarize this so it takes,00:17:33.280,00:17:36.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the inputs so if you're processing an,the inputs so if you're processing an,the inputs so if you're processing an,00:17:35.280,00:17:39.280,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
image for example the inputs are the,image for example the inputs are the,image for example the inputs are the,00:17:36.960,00:17:42.559,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
pixel values of the image x1 x2 up to xn,pixel values of the image x1 x2 up to xn,pixel values of the image x1 x2 up to xn,00:17:39.280,00:17:44.559,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
there could be hundreds of these so all,there could be hundreds of these so all,there could be hundreds of these so all,00:17:42.559,00:17:46.480,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
of those are fed as so these are some,of those are fed as so these are some,of those are fed as so these are some,00:17:44.559,00:17:48.559,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
values and these pixel values again can,values and these pixel values again can,values and these pixel values again can,00:17:46.480,00:17:51.200,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
be from 0 to 56 each of those pixel,be from 0 to 56 each of those pixel,be from 0 to 56 each of those pixel,00:17:48.559,00:17:54.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
values are then multiplied with what is,values are then multiplied with what is,values are then multiplied with what is,00:17:51.200,00:17:56.160,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
known as a weight this is a numeric,known as a weight this is a numeric,known as a weight this is a numeric,00:17:54.400,00:17:58.160,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
value can be any value so this is a,value can be any value so this is a,value can be any value so this is a,00:17:56.160,00:18:01.360,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
number w1 similarly w2 is a number so,number w1 similarly w2 is a number so,number w1 similarly w2 is a number so,00:17:58.160,00:18:03.679,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
initially some random values will be,initially some random values will be,initially some random values will be,00:18:01.360,00:18:05.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
assigned and each of these weights are,assigned and each of these weights are,assigned and each of these weights are,00:18:03.679,00:18:07.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
multiplied with the input value and,multiplied with the input value and,multiplied with the input value and,00:18:05.600,00:18:09.919,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
their sum this is known as the weighted,their sum this is known as the weighted,their sum this is known as the weighted,00:18:07.520,00:18:12.320,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
sum so that is performed in this kind of,sum so that is performed in this kind of,sum so that is performed in this kind of,00:18:09.919,00:18:14.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the central unit and then a bias is,the central unit and then a bias is,the central unit and then a bias is,00:18:12.320,00:18:17.440,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
added remember the bias is common for,added remember the bias is common for,added remember the bias is common for,00:18:14.960,00:18:20.080,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
each neuron so this is not the bias,each neuron so this is not the bias,each neuron so this is not the bias,00:18:17.440,00:18:21.760,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
value is not one,value is not one,value is not one,00:18:20.080,00:18:24.559,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
bias value for per input so just keep,bias value for per input so just keep,bias value for per input so just keep,00:18:21.760,00:18:26.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
that in mind the bias value there is one,that in mind the bias value there is one,that in mind the bias value there is one,00:18:24.559,00:18:28.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
bias per neuron so it is like this,bias per neuron so it is like this,bias per neuron so it is like this,00:18:26.640,00:18:31.360,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
summation plus bias is the output from,summation plus bias is the output from,summation plus bias is the output from,00:18:28.640,00:18:33.200,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the section this is not the complete,the section this is not the complete,the section this is not the complete,00:18:31.360,00:18:34.880,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
output of the neuron but this is the,output of the neuron but this is the,output of the neuron but this is the,00:18:33.200,00:18:37.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
bias for output for step one that goes,bias for output for step one that goes,bias for output for step one that goes,00:18:34.880,00:18:39.200,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
as an input to what is known as,as an input to what is known as,as an input to what is known as,00:18:37.600,00:18:41.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
activation function and that activation,activation function and that activation,activation function and that activation,00:18:39.200,00:18:44.320,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
function results in an output usually a,function results in an output usually a,function results in an output usually a,00:18:41.520,00:18:46.720,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
binary output like a zero or a one which,binary output like a zero or a one which,binary output like a zero or a one which,00:18:44.320,00:18:49.440,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
is known as the firing of the neuron,is known as the firing of the neuron,is known as the firing of the neuron,00:18:46.720,00:18:51.919,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
okay good so we talked about activation,okay good so we talked about activation,okay good so we talked about activation,00:18:49.440,00:18:53.840,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
function so what is an activation,function so what is an activation,function so what is an activation,00:18:51.919,00:18:55.760,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
function an activation function,function an activation function,function an activation function,00:18:53.840,00:18:58.880,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
basically takes the weighted sum which,basically takes the weighted sum which,basically takes the weighted sum which,00:18:55.760,00:19:02.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
is we saw w1 x1 w2 x2 the sum of all,is we saw w1 x1 w2 x2 the sum of all,is we saw w1 x1 w2 x2 the sum of all,00:18:58.880,00:19:05.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
that plus the bias so it takes that as,that plus the bias so it takes that as,that plus the bias so it takes that as,00:19:02.640,00:19:08.799,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
an input and it generates a certain,an input and it generates a certain,an input and it generates a certain,00:19:05.520,00:19:10.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
output now there are different types of,output now there are different types of,output now there are different types of,00:19:08.799,00:19:12.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
activation functions and the output is,activation functions and the output is,activation functions and the output is,00:19:10.640,00:19:14.160,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
different for different types of,different for different types of,different for different types of,00:19:12.640,00:19:16.720,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
activation functions moreover why is an,activation functions moreover why is an,activation functions moreover why is an,00:19:14.160,00:19:18.720,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
activation function required it is,activation function required it is,activation function required it is,00:19:16.720,00:19:20.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
basically required to bring in,basically required to bring in,basically required to bring in,00:19:18.720,00:19:23.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
non-linearity that's the main reason why,non-linearity that's the main reason why,non-linearity that's the main reason why,00:19:20.960,00:19:25.760,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
an activation function is required so,an activation function is required so,an activation function is required so,00:19:23.520,00:19:26.880,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
what are the different types of,what are the different types of,what are the different types of,00:19:25.760,00:19:28.720,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
activation functions there are several,activation functions there are several,activation functions there are several,00:19:26.880,00:19:30.720,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
types of activation functions but these,types of activation functions but these,types of activation functions but these,00:19:28.720,00:19:32.720,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
are the most common ones these are the,are the most common ones these are the,are the most common ones these are the,00:19:30.720,00:19:35.200,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
ones that are currently in use sigmoid,ones that are currently in use sigmoid,ones that are currently in use sigmoid,00:19:32.720,00:19:37.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
function was one of the early activation,function was one of the early activation,function was one of the early activation,00:19:35.200,00:19:41.440,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
functions but today relu has kind of,functions but today relu has kind of,functions but today relu has kind of,00:19:37.600,00:19:44.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
taken over so relu is by far the most,taken over so relu is by far the most,taken over so relu is by far the most,00:19:41.440,00:19:46.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
popular activation function that is used,popular activation function that is used,popular activation function that is used,00:19:44.400,00:19:49.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
today but still sigmoid function is,today but still sigmoid function is,today but still sigmoid function is,00:19:46.960,00:19:52.320,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
still used in many situations these,still used in many situations these,still used in many situations these,00:19:49.600,00:19:54.160,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
different types of activation functions,different types of activation functions,different types of activation functions,00:19:52.320,00:19:56.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
are used in different situations based,are used in different situations based,are used in different situations based,00:19:54.160,00:19:58.080,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
on the kind of problem we are trying to,on the kind of problem we are trying to,on the kind of problem we are trying to,00:19:56.400,00:20:00.000,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
solve so what exactly is the difference,solve so what exactly is the difference,solve so what exactly is the difference,00:19:58.080,00:20:01.840,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
between these two sigmoid gives the,between these two sigmoid gives the,between these two sigmoid gives the,00:20:00.000,00:20:03.919,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
values of the output will be between 0,values of the output will be between 0,values of the output will be between 0,00:20:01.840,00:20:06.799,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
and 1. threshold function is the value,and 1. threshold function is the value,and 1. threshold function is the value,00:20:03.919,00:20:07.760,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
will be,will be,will be,00:20:06.799,00:20:10.240,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
0 up to a certain value and beyond that,0 up to a certain value and beyond that,0 up to a certain value and beyond that,00:20:07.760,00:20:12.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
this is also known as a step function,this is also known as a step function,this is also known as a step function,00:20:10.240,00:20:14.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
and beyond that it will be 1. in case of,and beyond that it will be 1. in case of,and beyond that it will be 1. in case of,00:20:12.400,00:20:17.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
sigmoid there is a gradual increase but,sigmoid there is a gradual increase but,sigmoid there is a gradual increase but,00:20:14.960,00:20:19.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
in case of threshold it's like also,in case of threshold it's like also,in case of threshold it's like also,00:20:17.600,00:20:22.000,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
known as a step function there's a rapid,known as a step function there's a rapid,known as a step function there's a rapid,00:20:19.520,00:20:24.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
or instantaneous change from zero to one,or instantaneous change from zero to one,or instantaneous change from zero to one,00:20:22.000,00:20:26.080,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
whereas in sigmoid we will see in the,whereas in sigmoid we will see in the,whereas in sigmoid we will see in the,00:20:24.400,00:20:28.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
next slide there is a gradual increase,next slide there is a gradual increase,next slide there is a gradual increase,00:20:26.080,00:20:30.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
but the value in this case is between,but the value in this case is between,but the value in this case is between,00:20:28.400,00:20:33.200,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
zero and one as well now relu function,zero and one as well now relu function,zero and one as well now relu function,00:20:30.640,00:20:35.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
on the other hand it is equal to,on the other hand it is equal to,on the other hand it is equal to,00:20:33.200,00:20:38.880,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
basically if the input is 0 or less than,basically if the input is 0 or less than,basically if the input is 0 or less than,00:20:35.600,00:20:42.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
0 then the output is 0 whereas if the,0 then the output is 0 whereas if the,0 then the output is 0 whereas if the,00:20:38.880,00:20:46.000,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
input is greater than 0 then the output,input is greater than 0 then the output,input is greater than 0 then the output,00:20:42.960,00:20:48.000,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
is equal to the input i know it's a,is equal to the input i know it's a,is equal to the input i know it's a,00:20:46.000,00:20:49.919,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
little confusing but in the next slides,little confusing but in the next slides,little confusing but in the next slides,00:20:48.000,00:20:52.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
where we show the relu function it will,where we show the relu function it will,where we show the relu function it will,00:20:49.919,00:20:54.720,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
become clear similarly hyperbolic,become clear similarly hyperbolic,become clear similarly hyperbolic,00:20:52.400,00:20:57.679,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
tangent this is similar to sigmoid in,tangent this is similar to sigmoid in,tangent this is similar to sigmoid in,00:20:54.720,00:21:00.159,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
terms of the shape of the function,terms of the shape of the function,terms of the shape of the function,00:20:57.679,00:21:03.360,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
however while sigmoid goes from 0 to 1,however while sigmoid goes from 0 to 1,however while sigmoid goes from 0 to 1,00:21:00.159,00:21:06.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
hyperbolic tangent goes from -1 to 1 and,hyperbolic tangent goes from -1 to 1 and,hyperbolic tangent goes from -1 to 1 and,00:21:03.360,00:21:09.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
here again the increase or the change,here again the increase or the change,here again the increase or the change,00:21:06.400,00:21:13.760,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
from -1 to 1 is gradual and not like,from -1 to 1 is gradual and not like,from -1 to 1 is gradual and not like,00:21:09.520,00:21:15.760,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
threshold or step function where it,threshold or step function where it,threshold or step function where it,00:21:13.760,00:21:18.080,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
happens instantaneously so let's take a,happens instantaneously so let's take a,happens instantaneously so let's take a,00:21:15.760,00:21:20.159,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
little detailed look at some of these,little detailed look at some of these,little detailed look at some of these,00:21:18.080,00:21:21.919,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
functions so let's start with the,functions so let's start with the,functions so let's start with the,00:21:20.159,00:21:23.919,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
sigmoid function so this is the equation,sigmoid function so this is the equation,sigmoid function so this is the equation,00:21:21.919,00:21:26.559,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
of a sigmoid function which is 1 by 1,of a sigmoid function which is 1 by 1,of a sigmoid function which is 1 by 1,00:21:23.919,00:21:29.679,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
plus e to the power of minus x so x is,plus e to the power of minus x so x is,plus e to the power of minus x so x is,00:21:26.559,00:21:32.799,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the value that is the input it goes from,the value that is the input it goes from,the value that is the input it goes from,00:21:29.679,00:21:36.880,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
0 to -1 so this is sigmoid function the,0 to -1 so this is sigmoid function the,0 to -1 so this is sigmoid function the,00:21:32.799,00:21:40.000,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
equation is phi x is equal to 1 by 1,equation is phi x is equal to 1 by 1,equation is phi x is equal to 1 by 1,00:21:36.880,00:21:42.640,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
plus e to the power of minus x and as,plus e to the power of minus x and as,plus e to the power of minus x and as,00:21:40.000,00:21:44.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
you can see here this is the input on,you can see here this is the input on,you can see here this is the input on,00:21:42.640,00:21:47.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the x-axis as x is where the value is,the x-axis as x is where the value is,the x-axis as x is where the value is,00:21:44.400,00:21:49.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
coming from in fact it can also go,coming from in fact it can also go,coming from in fact it can also go,00:21:47.520,00:21:51.440,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
negative this is negative actually so,negative this is negative actually so,negative this is negative actually so,00:21:49.600,00:21:53.200,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
this is the zero so this is the negative,this is the zero so this is the negative,this is the zero so this is the negative,00:21:51.440,00:21:55.520,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
value of x so as x is coming from,value of x so as x is coming from,value of x so as x is coming from,00:21:53.200,00:21:58.720,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
negative value towards zero the value of,negative value towards zero the value of,negative value towards zero the value of,00:21:55.520,00:22:02.080,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the output slowly as it is approaching,the output slowly as it is approaching,the output slowly as it is approaching,00:21:58.720,00:22:05.120,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
zero it it slowly and very gently,zero it it slowly and very gently,zero it it slowly and very gently,00:22:02.080,00:22:08.320,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
increases and actually at the point let,increases and actually at the point let,increases and actually at the point let,00:22:05.120,00:22:11.600,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
me just use a pen at the point here it,me just use a pen at the point here it,me just use a pen at the point here it,00:22:08.320,00:22:15.919,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
is it is 0.5 it is actually 0.5 okay and,is it is 0.5 it is actually 0.5 okay and,is it is 0.5 it is actually 0.5 okay and,00:22:11.600,00:22:19.039,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
slowly gradually it increases to 1 as,slowly gradually it increases to 1 as,slowly gradually it increases to 1 as,00:22:15.919,00:22:21.440,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
the value of x increases but then as the,the value of x increases but then as the,the value of x increases but then as the,00:22:19.039,00:22:24.400,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
value of x increases it tapers off it,value of x increases it tapers off it,value of x increases it tapers off it,00:22:21.440,00:22:27.360,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
doesn't go beyond one so that is the,doesn't go beyond one so that is the,doesn't go beyond one so that is the,00:22:24.400,00:22:29.840,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
speciality of sigmoid function so the,speciality of sigmoid function so the,speciality of sigmoid function so the,00:22:27.360,00:22:32.320,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
output value will remain between zero,output value will remain between zero,output value will remain between zero,00:22:29.840,00:22:34.960,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
and one it will never go below zero or,and one it will never go below zero or,and one it will never go below zero or,00:22:32.320,00:22:37.360,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
above one okay then so that is sigmoid,above one okay then so that is sigmoid,above one okay then so that is sigmoid,00:22:34.960,00:22:39.679,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
function now this is threshold function,function now this is threshold function,function now this is threshold function,00:22:37.360,00:22:42.000,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI
